Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	eng.sdrt.stac	fra.sdrt.annodis	0.43	0.46	0.0	0.9	0.48	0.5	8.92	7.06	6.76	9580.0	2185.0	11765.0	13.24018	13.254672	13.28517	18.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.679611650485446	3.520000000000003	36.480000000000004
0	eng.sdrt.stac	nld.rst.nldt	0.57	0.49	0.0	0.6	0.49	0.5	8.92	7.06	6.76	9580.0	1608.0	11188.0	13.238832	13.253545	13.284224	29.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.555555555555551	1.8404907975460105	34.96932515337423
0	eng.sdrt.stac	por.rst.cstn	0.57	0.47	0.1	0.9	0.42	0.5	8.92	7.06	6.76	9580.0	4148.0	13728.0	13.239174	13.254412	13.284844	21.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.999999999999994	2.941176470588232	61.76470588235294
0	eng.sdrt.stac	rus.rst.rrt	0.28	0.49	0.2	0.9	0.56	0.5	8.92	7.06	6.76	9580.0	28822.0	38402.0	13.239933	13.254521	13.28504	20.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4286581663630904	1.4069644741470313	59.3387266971509
0	eng.sdrt.stac	spa.rst.rststb	0.34	0.4	0.1	0.9	0.55	0.5	8.92	7.06	6.76	9580.0	2240.0	11820.0	13.239296	13.253925	13.284635	25.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7352941176470513	-0.2347417840375563	31.690140845070424
0	eng.sdrt.stac	spa.rst.sctb	0.34	0.4	0.1	0.9	0.55	0.5	8.92	7.06	6.76	9580.0	439.0	10019.0	13.239688	13.254621	13.285247	19.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.4794520547945265	-2.5157232704402546	43.39622641509434
0	eng.sdrt.stac	tur.pdtb.tdb	0.34	0.7	0.1	1.0	0.52	0.6	8.92	7.06	6.76	9580.0	2451.0	12031.0	13.239729	13.254317	13.284829	22.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.605442176870739	4.739336492890992	39.57345971563981
0	eng.sdrt.stac	zho.rst.sctb	0.57	0.57	1.0	1.0	0.6	0.6	8.92	7.06	6.76	9580.0	439.0	10019.0	13.23952	13.254518	13.285056	20.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.633802816901415	2.5157232704402546	47.16981132075472
0	fas.rst.prstc	deu.rst.pcc	0.55	0.89	0.5	1.0	0.6	0.7	8.13	6.2	6.01	4100.0	2164.0	6264.0	4.431723	4.720785	4.115905	24.0	16.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	12.195121951219527	1.9230769230769251	17.692307692307693
0	fas.rst.prstc	eng.pdtb.pdtb	0.57	0.9	0.5	1.0	0.57	0.7	8.13	6.2	6.01	4100.0	43920.0	48020.0	13.245688	13.251466	13.385328	23.0	16.0	0.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	2.5265957446808636	1.683650863978741	68.32077979618964
